condition,base_pid,gender,age_band,race,selected_n,in_panel500
flimsy fish,pid_1780,Male,30-44,Latino / Hispanic,500,yes
flimsy fish,pid_1782,Male,30-44,White / Caucasian,500,yes
flimsy fish,pid_1790,Female,30-44,Black / African-American,500,yes
flimsy fish,pid_1791,Female,60+,Asian / Asian-American,500,yes
flimsy fish,pid_1793,Female,60+,Asian / Asian-American,500,yes
flimsy fish,pid_1803,Female,60+,White / Caucasian,500,yes
flimsy fish,pid_1805,Male,30-44,Black / African-American,500,yes
flimsy fish,pid_1806,Female,60+,White / Caucasian,500,yes
flimsy fish,pid_1809,Male,18-29,White / Caucasian,500,yes
flimsy fish,pid_1811,Female,45-59,White / Caucasian,500,yes
flimsy fish,pid_1814,Female,18-29,White / Caucasian,500,yes
flimsy fish,pid_1815,Female,60+,Black / African-American,500,yes
flimsy fish,pid_1819,Male,30-44,White / Caucasian,500,yes
flimsy fish,pid_1820,Female,30-44,White / Caucasian,500,yes
flimsy fish,pid_1822,Female,60+,White / Caucasian,500,yes
flimsy fish,pid_1824,Male,18-29,Latino / Hispanic,500,yes
flimsy fish,pid_1829,Female,18-29,White / Caucasian,500,yes
flimsy fish,pid_1833,Female,18-29,Latino / Hispanic,500,yes
flimsy fish,pid_1837,Male,18-29,Latino / Hispanic,500,yes
flimsy fish,pid_1840,Female,30-44,Latino / Hispanic,500,yes
flimsy fish,pid_1843,Male,30-44,White / Caucasian,500,yes
flimsy fish,pid_1846,Female,60+,White / Caucasian,500,yes
flimsy fish,pid_1847,Male,45-59,Asian / Asian-American,500,yes
flimsy fish,pid_1853,Male,18-29,Latino / Hispanic,500,yes
flimsy fish,pid_1857,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_1866,Female,45-59,White / Caucasian,500,yes
flimsy fish,pid_1870,Female,45-59,White / Caucasian,500,yes
flimsy fish,pid_1872,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_1877,Female,30-44,White / Caucasian,500,yes
flimsy fish,pid_1878,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_1884,Male,60+,White / Caucasian,500,yes
flimsy fish,pid_1886,Male,18-29,White / Caucasian,500,yes
flimsy fish,pid_1889,Male,30-44,White / Caucasian,500,yes
flimsy fish,pid_1890,Male,30-44,White / Caucasian,500,yes
flimsy fish,pid_1893,Female,18-29,Latino / Hispanic,500,yes
flimsy fish,pid_1901,Female,30-44,White / Caucasian,500,yes
flimsy fish,pid_1904,Male,30-44,White / Caucasian,500,yes
flimsy fish,pid_1908,Female,45-59,White / Caucasian,500,yes
flimsy fish,pid_1909,Female,60+,Latino / Hispanic,500,yes
flimsy fish,pid_1912,Male,30-44,Asian / Asian-American,500,yes
flimsy fish,pid_1913,Female,30-44,Other,500,yes
flimsy fish,pid_1917,Female,18-29,White / Caucasian,500,yes
flimsy fish,pid_1919,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_1929,Female,60+,White / Caucasian,500,yes
flimsy fish,pid_1931,Male,60+,White / Caucasian,500,yes
flimsy fish,pid_1933,Female,18-29,White / Caucasian,500,yes
flimsy fish,pid_1937,Female,18-29,Other,500,yes
flimsy fish,pid_1945,Female,30-44,White / Caucasian,500,yes
flimsy fish,pid_1952,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_1953,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_1961,Female,60+,Other,500,yes
flimsy fish,pid_1963,Male,30-44,White / Caucasian,500,yes
flimsy fish,pid_1966,Female,18-29,Latino / Hispanic,500,yes
flimsy fish,pid_1972,Male,18-29,Black / African-American,500,yes
flimsy fish,pid_1973,Female,18-29,Latino / Hispanic,500,yes
flimsy fish,pid_1978,Male,30-44,White / Caucasian,500,yes
flimsy fish,pid_1981,Female,18-29,White / Caucasian,500,yes
flimsy fish,pid_1982,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_1985,Male,18-29,Black / African-American,500,yes
flimsy fish,pid_1988,Female,30-44,White / Caucasian,500,yes
flimsy fish,pid_1989,Female,30-44,White / Caucasian,500,yes
flimsy fish,pid_1997,Female,30-44,White / Caucasian,500,yes
flimsy fish,pid_1998,Female,60+,White / Caucasian,500,yes
flimsy fish,pid_1999,Female,30-44,White / Caucasian,500,yes
flimsy fish,pid_2000,Male,60+,White / Caucasian,500,yes
flimsy fish,pid_2003,Male,18-29,White / Caucasian,500,yes
flimsy fish,pid_2005,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_2006,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_2008,Female,45-59,Asian / Asian-American,500,yes
flimsy fish,pid_2010,Female,45-59,White / Caucasian,500,yes
flimsy fish,pid_2021,Female,45-59,White / Caucasian,500,yes
flimsy fish,pid_2022,Female,60+,Black / African-American,500,yes
flimsy fish,pid_2025,Male,60+,White / Caucasian,500,yes
flimsy fish,pid_2026,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_2030,Female,60+,White / Caucasian,500,yes
flimsy fish,pid_2034,Male,45-59,White / Caucasian,500,yes
flimsy fish,pid_2041,Male,60+,White / Caucasian,500,yes
flimsy fish,pid_2046,Male,18-29,Latino / Hispanic,500,yes
flimsy fish,pid_2049,Female,18-29,Black / African-American,500,yes
flimsy fish,pid_2052,Male,18-29,White / Caucasian,500,yes
flimsy fish,pid_2054,Female,30-44,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_14,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_15,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_23,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_29,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_32,Male,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_35,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_43,Male,18-29,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_57,Male,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_59,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_62,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_65,Female,45-59,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_71,Male,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_72,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_75,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_76,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_81,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_83,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_84,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_91,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_95,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_99,Male,30-44,Other,500,yes
giant gibbon; brick bobcat,pid_102,Male,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_104,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_107,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_115,Female,60+,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_118,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_122,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_123,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_129,Female,30-44,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_133,Female,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_160,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_163,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_165,Male,45-59,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_167,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_173,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_174,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_180,Female,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_182,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_186,Female,18-29,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_189,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_198,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_204,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_207,Female,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_217,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_223,Male,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_245,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_248,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_253,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_258,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_262,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_263,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_265,Female,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_268,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_273,Male,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_276,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_278,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_282,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_283,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_285,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_289,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_290,Male,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_294,Male,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_296,Female,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_303,Female,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_305,Male,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_315,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_318,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_329,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_333,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_336,Female,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_337,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_339,Male,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_345,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_348,Female,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_350,Male,45-59,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_353,Male,45-59,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_363,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_366,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_368,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_369,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_371,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_373,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_376,Male,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_378,Female,30-44,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_379,Male,60+,Other,500,yes
giant gibbon; brick bobcat,pid_384,Female,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_391,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_393,Male,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_398,Female,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_402,Female,60+,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_403,Male,30-44,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_406,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_407,Male,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_411,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_412,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_425,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_443,Male,30-44,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_445,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_447,Male,60+,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_450,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_451,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_453,Male,18-29,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_455,Female,45-59,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_456,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_459,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_460,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_461,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_462,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_463,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_464,Female,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_467,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_469,Female,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_470,Male,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_474,Female,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_475,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_478,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_487,Female,18-29,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_491,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_492,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_502,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_507,Male,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_509,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_511,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_512,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_513,Male,60+,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_517,Female,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_520,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_521,Female,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_525,Male,30-44,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_528,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_541,Male,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_542,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_559,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_563,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_566,Female,18-29,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_569,Male,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_577,Female,18-29,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_578,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_582,Male,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_585,Male,60+,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_586,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_607,Male,30-44,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_609,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_610,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_628,Male,18-29,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_629,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_636,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_653,Male,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_654,Male,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_667,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_676,Female,45-59,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_679,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_684,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_687,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_691,Female,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_695,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_708,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_714,Female,45-59,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_715,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_716,Male,18-29,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_717,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_718,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_721,Male,45-59,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_732,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_736,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_738,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_744,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_753,Male,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_757,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_758,Female,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_761,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_764,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_767,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_773,Female,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_774,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_788,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_792,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_797,Female,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_800,Female,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_804,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_805,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_808,Male,30-44,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_814,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_822,Male,45-59,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_824,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_839,Male,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_845,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_846,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_847,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_857,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_860,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_861,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_863,Male,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_869,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_871,Female,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_872,Male,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_881,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_882,Male,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_883,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_895,Female,30-44,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_897,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_900,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_903,Female,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_904,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_910,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_913,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_914,Male,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_916,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_917,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_920,Male,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_921,Female,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_924,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_926,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_933,Female,60+,Other,500,yes
giant gibbon; brick bobcat,pid_935,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_939,Female,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_940,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_945,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_946,Female,45-59,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_949,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_950,Male,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_951,Female,45-59,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_954,Female,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_955,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_957,Female,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_958,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_961,Female,30-44,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_969,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_970,Male,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_976,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_983,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1001,Male,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1003,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1007,Male,30-44,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_1010,Female,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1011,Female,30-44,Other,500,yes
giant gibbon; brick bobcat,pid_1016,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1018,Female,18-29,Other,500,yes
giant gibbon; brick bobcat,pid_1019,Female,45-59,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1030,Female,45-59,Other,500,yes
giant gibbon; brick bobcat,pid_1037,Female,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1041,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1043,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1044,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1047,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1048,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1051,Male,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1054,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1060,Male,30-44,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_1063,Female,18-29,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_1064,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1072,Male,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1082,Female,45-59,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_1089,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1094,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1097,Female,60+,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1100,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1109,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1114,Male,45-59,Other,500,yes
giant gibbon; brick bobcat,pid_1115,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1116,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1124,Female,30-44,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_1125,Male,30-44,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_1131,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1132,Female,45-59,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1135,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1137,Male,60+,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_1138,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1144,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1145,Female,30-44,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_1147,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1148,Female,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1153,Female,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1157,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1159,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1168,Male,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1174,Female,45-59,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1176,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1178,Female,18-29,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1182,Male,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1183,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1187,Male,18-29,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1188,Male,18-29,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_1189,Female,30-44,Asian / Asian-American,500,yes
giant gibbon; brick bobcat,pid_1193,Male,30-44,Latino / Hispanic,500,yes
giant gibbon; brick bobcat,pid_1194,Male,30-44,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1197,Female,60+,White / Caucasian,500,yes
giant gibbon; brick bobcat,pid_1199,Male,60+,Black / African-American,500,yes
giant gibbon; brick bobcat,pid_1202,Male,60+,White / Caucasian,500,yes
